sheet,address,value,precedents,dependents
Help,B52,Define your budget using the Budget worksheet. Edit only the cells with the gray outline.,,
Help,B53,,,
Help,B54,Learn more about budgeting on Vertex42.com:,,
Help,B55,Budgeting Tips and Tools >,,
Help,C55,,,
Help,B56,Article: How to Budget >,,
Help,C56,,,
Help,B57,,,
Help,B58," • For a Financial Year that does not start in January: Before entering your yearly budget, ",,
Help,B59,"go to the Report worksheet and enter the ""Year Begins"" date. This will update the month",,
Help,B60,labels in the Budget worksheet.,,
Help,B61," • You can copy and paste the input cells within the Budget worksheet as needed. For example,",,
Help,B62,"enter an average fuel cost in January, then copy the value to other months.",,
Help,B63," • Use formulas to do basic calculations like ""=245/6"" to divide 245 by 6 or ""=34*2"" to multipy",,
Help,B64,"34 by 2, or ""=34+12+45"" to add a bunch of numbers. Formulas are entered using the ",,
Help,B65,"equals ""="" sign.",,
Help,A67,Step 4,,
Help,B67,Record Transactions,,
Help,B68,The Transactions worksheet lets you record transactions for multiple accounts. Think of a,,
Help,B69,PAYMENT as money leaving the account and a DEPOSIT as money entering the account.,,
Help,B70,Examples of different types of transactions are given below.,,
Help,B71,,,
Help,B72,"IMPORTANT: You must copy and paste entire rows when adding new rows, to ensure that",,
Help,B73,"all the formatting, data validation, and formulas get copied correctly.",,
Help,B74,THE MOST COMMON ERROR is inserting a new row and forgetting to copy formulas down.,,
Help,B75,"When you insert a blank row, some formatting is copied from the row above it automatically,",,
Help,B76,but formulas are not copied. You can press CTRL+d after inserting a new row to quickly,,
Help,B77,copy all formulas and formatting from the row immediately above.,,
Help,B79,Use the screenshot below as a guide for how to enter transactions.,,
Help,B97,"Date: To quickly enter the current date, use the keyboard shortcut CTRL+;",,
Help,C97,=TODAY(),,Help!C98
Help,B98,"The list of dates to the right is used to populate the drop-down box. For other dates,",,
Help,C98,=C97-1,C97,Help!C99
Help,B99,"you will need to enter the date manually. For a date in the current year, you can use the",,
Help,C99,=C98-1,C98,Help!C100
Help,B100,shortcut of just entering the month/day like 5/16.,,
Help,C100,=C99-1,C99,Help!C101
Help,C101,=C100-1,C100,Help!C102
Help,C102,=C101-1,C101,Help!C103
Help,C103,=C102-1,C102,Help!C104
Help,C104,=C103-1,C103,
Help,B106,"Num: This column is usually used to list the check number, but you can also use it to enter ",,
Help,B107,"""DEP"" for deposit, ""TXFR"" for transfer, ""EFT"" for electronic funds transfer, ""ACH"" for ",,
Help,B108,"Automated Clearing House transactions, etc.",,
Help,B109,,,
Help,B110,Category: The budget Category field is essential to the functionality of this workbook.,,
Help,B111,The dropdown list refers to the categories in the Budget worksheet.,,
Help,B112,,,
Help,B113,"If you enter a category that is not listed in the Budget worksheet, the cell is highlighted:",,
Help,C113,Cell Highlighted,,
Help,D113,: Category not found in the Categories worksheet,,
Help,B114,The highlighting is done via conditional formatting. If you insert rows in a way that does,,
Help,B115,"not copy formatting, you'll lose this error-checking feature.",,
Help,B116,,,
Help,B117,"IMPORTANT: If you have chosen a category such as ""Ted's Fund"" and then later remove ",,
Help,B118,"""Ted's Fund"" from the Budget worksheet, it will not be changed in the Transactions table",,
Help,B119,automatically. You will need to make sure that you find all the records that have used ,,
Help,B120,"""Ted's Fund"" as the Category and change them to something else.",,
Help,B121,,,
Help,A122,,,
Help,B122,Step 4-0: Delete the Sample Rows,,
Help,A124,,,
Help,B124,Step 4-1: Enter the beginning balance(s):,,
Help,B125,The Beginning Balance on JANUARY 1st for each account should be the first lines in the ,,
Help,B126,"register. If an account has a Negative balance (like a Credit Card), enter the balance as a",,
Help,A127,,,
Help,B127,"Positive value in the PAYMENT column. If an account has a Positive balance, enter the balance",,
Help,B128,as a Positive value in the DEPOSIT column. Use the Account Balance column to compare to,,
Help,B129,the balance shown on your bank or credit card statements.,,
Help,B130,,,
Help,A131,,,
Help,B131,Step 4-2: Add New Transactions:,,
Help,A132,,,
Help,B132,You will probably find that the fastest way to add new transactions is copy and paste similar ,,
Help,B133,"previous transactions. You can select one or more rows, copy them, and then paste them",,
Help,B134,"below the last transaction. Then, you just need to edit the cells that need to be changed.",,
Help,B135,,,
Help,B136,TIP: Always leave the last row in the table BLANK so that you can easily add new rows. To ,,
Help,B137,"add new rows, select the last row of the table (row 57 in the image below) and drag the fill",,
Help,B138,handle down to copy the row down to create as many new rows as you need.,,
Help,B139,,,
Help,B140,,,
Help,B141,,,
Help,B142,,,
Help,B143,,,
Help,B144,,,
Help,B145,Recording a SPLIT Transaction,,
Help,B146,"If a single transaction needs to be allocated to multiple budget categories, you need to create",,
Help,B147,a SPLIT transaction. You can do this by splitting the transaction into multiple transactions - ,,
Help,B148,"one for each category. You can use the MEMO field to indicate that the transaction is a ""Split"".",,
Help,B149,,,
Help,B150,ACCOUNT   DATE    NUM   PAYEE    MEMO    CATEGORY    PAYMENT,,
Help,B151,Checking  1/1/10  2032  Target   Split   Clothing      23.10,,
Help,B152,Checking  1/1/10  2032  Target   Split   Groceries     45.15,,
Help,B153,Checking  1/1/10  2032  Target   Split   Supplies      25.04,,
Help,B154,,,
Help,B155,"TIP: If you want to verify the total amount of the split transaction, you can do a quick",,
Help,B156,"calculation off to the side of the table using an Excel formula, like ""=SUM(H13:H15)""",,
Help,B157,,,
Help,B158,Recording a [Transfer] Between Spending Accounts,,
Help,B159,"Record a transfer by listing two transactions (one PAYMENT, one DEPOSIT) to offset each other.",,
Help,B160,"Choose ""[Transfer]"" as the Category for both transactions. For example, a $250 credit card",,
Help,B161,payment would be recorded as a transfer FROM your checking TO your credit card account:,,
Help,B162,,,
Help,B163,ACCOUNT     DATE    NUM   PAYEE            CATEGORY    PAYMENT  DEPOSIT,,
Help,B164,CreditCard  1/1/10  TXFR  [From Checking]  [Transfer]            150.00,,
Help,B165,Checking    1/1/10  TXFR  [To CreditCard]  [Transfer]   150.00,,
Help,B166,,,
Help,B167,"NOTE: The above example assumes that the ""payment"" to your Credit Card is to pay off the",,
Help,B168,charges that you have already recorded earlier in the Transaction History table for the ,,
Help,B169,CreditCard account. If you are NOT recording individual CreditCard transactions using the,,
Help,B170,"Transactions worksheet, or part of the $150.00 was to pay down an outstanding debt, then a ",,
Help,B171,"credit card payment would look like one of the following, where ""Credit Card #1"" is a category",,
Help,B172,under Obligations.,,
Help,B173,,,
Help,B174,"Example 1: Not using Credit Card #1 any more, but still owe money on it.",,
Help,B175,ACCOUNT     DATE    NUM   PAYEE           CATEGORY        PAYMENT,,
Help,B176,Checking    1/1/10        Credit Card     Credit Card #1   150.00,,
Help,B177,,,
Help,B178,Example 2: A portion of a credit card payment used to pay down $25.00 of outstanding debt.,,
Help,B179,ACCOUNT     DATE    NUM   PAYEE           MEMO   CATEGORY      PAYMENT  DEPOSIT,,
Help,B180,CreditCard  1/1/10  TXFR  [From Checking]        [Transfer]              150.00,,
Help,B181,Checking    1/1/10  TXFR  [To CreditCard] Split  [Transfer]     125.00,,
Help,B182,Checking    1/1/10  TXFR  [To CreditCard] Split  Credit Card #1  25.00,,
Help,B183,,,
Help,B184,Tracking a Loan Balance,,
Help,B185,"If you want to track a loan balance by listing it as one of your Accounts, you will need to ",,
Help,B186,"record a loan payment as a split transaction. For the following example, the loan payment",,
Help,B187,"of $500 consists of $300 principal, $150 interest, and $50 insurance. The $300 principal",,
Help,B188,portion is added to the loan account balance and recorded as a [Transfer].,,
Help,B189,,,
Help,B190,Example $500 Loan Payment where $300 is Principal,,
Help,B191,ACCOUNT     DATE    NUM   PAYEE           MEMO   CATEGORY      PAYMENT  DEPOSIT,,
Help,B192,Loan A      1/1/21  TXFR  [From Checking]        [Transfer]              300.00,,
Help,B193,Checking    1/1/21  TXFR  ABC Bank        Split  Debt Payoff    300.00,,
Help,B194,Checking    1/1/21  TXFR  ABC Bank        Split  Interest Exp   150.00,,
Help,B195,Checking    1/1/21  TXFR  ABC Bank        Split  Insurance       50.00,,
Help,B196,,,
Help,B197,Recording a [Transfer] To SAVINGS,,
Help,B198,"When budgeting, you treat a transfer to Savings as an expense. You'll notice in the Budget",,
Help,B199,worksheet that there are multiple savings goals listed as sub-categories under the main,,
Help,B200,"""To Savings"" category. Instead of just throwing money into Savings, you should allocate the ",,
Help,A201,,,
Help,B201,"money to specific savings goals based on percentages. For example, 50% to your Emergency",,
Help,B202,"Fund, 25% to Retirement, etc. You do this by recording the transfer as a SPLIT transaction:",,
Help,B203,"In the example below, the CATEGORY for the Savings account transaction is ""[Transfer]""",,
Help,B204,while the CATEGORY for the Checking account transaction(s) are budget sub-categories.,,
Help,B205,,,
Help,B206,ACCOUNT   DATE    NUM   PAYEE            CATEGORY       PAYMENT   DEPOSIT,,
Help,B207,Savings   1/1/10  TXFR  [From Checking]  [Transfer]                200.00,,
Help,B208,Checking  1/1/10  TXFR  [To Savings]     Emergency Fund  100.00,,
Help,B209,Checking  1/1/10  TXFR  [To Savings]     Retirement       50.00,,
Help,B210,Checking  1/1/10  TXFR  [To Savings]     College Fund     50.00,,
Help,B211,,,
Help,B212,Recording a Return or Refund,,
Help,B213,A very common approach for recording returns or refunds is to record them as a negative,,
Help,B214,"expense. As an example, let's say you purchased a blender from a department store and",,
Help,B215,"allocated the payment to your ""Appliances"" category. After returning the blender, the store",,
Help,B216,"credits your card. Instead of entering the credit as a deposit, enter the amount as a negative",,
Help,B217,payment as shown below. Doing this will credit the correct budget category instead of ,,
Help,B218,treating the return as income.,,
Help,B219,,,
Help,B220,Original Transaction:,,
Help,B221,ACCOUNT     DATE    NUM   PAYEE            CATEGORY    PAYMENT  DEPOSIT,,
Help,B222,CreditCard  1/1/10        The Big Store    Appliances    50.00,,
Help,B223,,,
Help,B224,Recording the Return:,,
Help,B225,ACCOUNT     DATE    NUM   PAYEE            CATEGORY    PAYMENT  DEPOSIT,,
Help,B226,CreditCard  1/5/10        The Big Store    Appliances   -50.00,,
Help,B227,,,
Help,B228,"Budgeting for Known Future Expenses (e.g. car, holiday, vacation, etc.)",,
Help,B229,"For large payments that are made once every few months or once a year, it is common to",,
Help,B230,estimate a monthly budget amount and transfer the monthly amount into a temporary,,
Help,B231,savings account so that you have enough money available when you need to pay the bill.,,
Help,B232,The transfers are recorded as expenses at the time the money is transferred as explained,,
Help,B233,"above in the section ""Recording a [Transfer] to SAVINGS.""",,
Help,B234,,,
Help,B235,"If you are recording those transfers to savings each month as an expense, then what do",,
Help,B236,you do when it comes time to pay the bill? You don't want to record the expense twice.,,
Help,B237,,,
Help,B238,If you can pay directly from your Savings account:,,
Help,B239,You have already recorded the payments as expenses when you transferred the money to,,
Help,B240,"Savings, so leave the Category blank when recording the payment. The payment will not",,
Help,B241,show up in your budget report a second time (because the Category column is blank).,,
Help,B242,,,
Help,B243,ACCOUNT   DATE    NUM   PAYEE            CATEGORY       PAYMENT   DEPOSIT,,
Help,B244,Savings   6/1/14  chk   ABC Insurance                   198.00,,
Help,B245,,,
Help,B246,If you can't pay directly from your Savings account:,,
Help,B247,"First transfer the amount saved from Savings to Checking, recording the transfer as a ",,
Help,B248,"credit to the expense category. Then, record the payment from Checking like normal.",,
Help,B249,,,
Help,B250,1. Record the Transfer from Savings to Checking as a Credit to the Expense Category,,
Help,B251,ACCOUNT   DATE    NUM   PAYEE            CATEGORY       PAYMENT   DEPOSIT,,
Help,B252,Savings   6/1/14  TXFR  [To Checking]    [Transfer]      200.00,,
Help,B253,Checking  6/1/14  TXFR  [From Savings]   Insurance                 200.00,,
Help,B254,,,
Help,B255,2. Record the Payment from Checking:,,
Help,B256,ACCOUNT   DATE    NUM   PAYEE            CATEGORY       PAYMENT   DEPOSIT,,
Help,B257,Checking  6/1/14  1023  ABC Insurance    Insurance       198.00,,
Help,B258,,,
Help,B259,"In the above example, the actual payment of 198.00 was lower than the previously budgeted",,
Help,B260,"total expense of 200.00, so you could end up seeing a value of -2.00 in the Actual column",,
Help,B261,of the report worksheet. This is similar to what you might see if you received a refund or,,
Help,B262,return for something you paid in a previous month.,,
Help,B263,,,
Help,B264,Budgeting for Known Future Expenses - Without Transfers Between Accounts,,
Help,B265,To allocate money to a savings or expense fund without transferring the money to a different,,
Help,B266,"account, you will need to add a pair of offset transactions for each allocation. The first entry",,
Help,B267,includes the budget category and the second entry does not. The payment and deposit amounts,,
Help,B268,"offset each other, so the account balance does not change. When you make the real payment,",,
Help,B269,you leave the Category blank. The following shows what this might look like for a quarterly,,
Help,B270,"health insurance payment, with monthly budget allocations.",,
Help,B271,ACCOUNT   DATE    NUM   PAYEE            CATEGORY           PAYMENT   DEPOSIT,,
Help,B272,Checking  1/1/10        [Allocation]     Health Insurance   200.00,,
Help,B273,Checking  1/1/10        [Allocation]                                  200.00,,
Help,B274,Checking  2/1/10        [Allocation]     Health Insurance   200.00,,
Help,B275,Checking  2/1/10        [Allocation]                                  200.00,,
Help,B276,Checking  3/1/10        [Allocation]     Health Insurance   200.00,,
Help,B277,Checking  3/1/10        [Allocation]                                  200.00,,
Help,B278,Checking  3/15/10       ABC Insurance                       600.00,,
Help,B279,,,
Help,B280,Tracking the Balance of Savings and Expense Funds,,
Help,B281,"If you choose to keep allocated funds within your spending account, you may want to keep",,
Help,B282,track of how much in your spending account is free to be used for other purposes and how,,
Help,B283,much has been allocated to future expenses. There are a couple methods for doing that:,,
Help,B284,,,
Help,B285,Method 1: Define a Virtual Sub-Account in the Accounts worksheet,,
Help,B286,"Using this method, you record entries in the Transactions worksheet just as you would if you",,
Help,B287,were transferring real money between accounts. Your bank statement will not show these,,
Help,B288,transactions because you are only listing them in your own spreadsheet. When you reconcile,,
Help,B289,"with your bank statements, remember to add the balances for the sub-accounts to the balance",,
Help,B290,of the main account.,,
Help,B291,,,
Help,B292,Method 2: Use a Separate Worksheet to Track Savings and Expense Funds,,
Help,B293,You can use the Goals worksheet to track any fund balance that you want to. You will need to,,
Help,B294,update the Goals worksheet in addition to recording the allocations in the Transactions,,
Help,B295,worksheet. The Goals worksheet is only for tracking the balance and is not linked to your,,
Help,B296,other budget worksheets.,,
Help,B297,,,
Help,B298,"Step 4-3: Record ""Cleared"" Transactions.",,
Help,B299,"When you see that charges have been processed or ""cleared"" by your bank, you should ",,
Help,B300,"enter a ""c"" in the reconcile (R) column for that transaction.",,
Help,B301,,,
Help,B302,The Cleared Balance in the transaction history table shows the Account balance for the,,
Help,B303,"transactions marked ""R"" for reconciled or ""c"" for cleared. This allows you to compare the ",,
Help,B304,Cleared Balance with the current balance shown on your bank statements.,,
Help,B305,,,
Help,A306,,,
Help,B306,The Account Balance reflects your actual or effective balance and is the one you should be ,,
Help,B307,looking at to stay on budget. The Cleared Balance is for comparing to your bank and credit ,,
Help,B308,"card statements. For example, when you write a check to a friend, it won't show up in your ",,
Help,B309,"bank account until they cash it. You should record the transaction immediately, to help you ",,
Help,B310,"stay on budget, but until the check shows up on your bank statement, your Cleared Balance ",,
Help,B311,"will be different from the Account Balance (until you enter a ""c"" or ""R"" in the reconcile column).",,
Help,B312,,,
Help,A313,,,
Help,B313,Step 4-4: Reconcile Your Accounts,,
Help,A314,,,
Help,B314,You should reconcile your accounts at least one a month. Reconciling is also commonly known ,,
Help,B315,"as ""balancing your checkbook"".",,
Help,B316,A. Get your bank and credit card statements,,
Help,B317,B. Review your statements for errors and fraudulent charges,,
Help,B318,"C. Your statements may include ATM fees, bank fees, or other transactions that you forget",,
Help,B319,to include in the Transactions worksheet. Add them.,,
Help,B320,D. Verify that the Cleared Balance (as of the Ending Statement Date) in the Transactions,,
Help,B321,worksheet matches the Statement Balance.,,
Help,B322,"E. Enter an ""R"" in the reconcile (R) column for every transaction that shows up on your",,
Help,B323,bank statement.,,
Help,B324,,,
Help,B325,"TIP: If you are familiar with using Excel lists or tables, you can use autofiltering to filter the",,
Help,B326,transaction history table to show a single account at a time.,,
Help,B327,,,
Help,B328,Step 4-5: Check Formulas,,
Help,B329,"If you do any type of customization, you should check that formulas in the spreadsheet are",,
Help,B330,still referring to the correct cells.,,
Help,A332,Step 5,,
Help,B332,Track Your Progress,,
Help,B333,A very important part of good money management is keeping track of how your current ,,
Help,B334,spending compares to your budget. You might check your budget status on a weekly or even ,,
Help,B335,"daily basis, but you should at least manage your money on a monthly basis.",,
Help,B336,,,
Help,B337,Using the Report Worksheet,,
Help,B338,Use the Report worksheet to compare your budget to your actual spending throughout ,,
Help,B339,"the month. Change the month by entering the month number (1 for Jan., 2 for Feb., etc.).",,
Help,B340,,,
Help,B341,The Report pulls the budget info from the Budget worksheet and the actual spending from ,,
Help,B342,"the Transactions worksheet, so you can view the report at any time during the month and",,
Help,B343,see how much you have left (or how much you have overspent) in each category.,,
Help,B344,,,
Help,B345,IMPORTANT: If the Report worksheet does not appear to be pulling information from the,,
Help,B346,"Transactions worksheet, please see Step 4-5 above (Check Formulas).",,
Help,B347,,,
Help,B348,Using the YearlyReport Worksheet,,
Help,B349,The YearlyReport worksheet is very similar to the Budget worksheet except that it calculates,,
Help,B350,amounts from the Transactions worksheet to show you an Income and Expense report.,,
Help,B352,"If you customize budget categories, you will need to make sure to edit the YearlyReport",,
Help,B353,worksheet so that all budget categories match.,,
Help,B355,Using the Goals Worksheet,,
Help,B356,"If you want to track separate short-term and long-term savings goals, you can use the Goals",,
Help,B357,worksheet. It isn't connected to any of the other worksheets in this workbook.,,
Help,B359,Worksheet Protection,,
Help,B360,   Some worksheets are protected to prevent accidental editing of cells and rows that are not,,
Help,B361,"meant to be edited. If you want to attempt to customize the spreadsheet, you can turn off",,
Help,B362,worksheet protection via Review > Unprotect Sheet.,,
Budget,A1, YEARLY BUDGET,,
Budget,B1,,,
Budget,C1,,,
Budget,D1,,,
Budget,E1,,,
Budget,F1,,,
Budget,G1,,,
Budget,H1,,,
Budget,I1,,,
Budget,J1,,,
Budget,K1,,,
Budget,L1,,,
Budget,M1,,,
Budget,N1,,,
Budget,O1,,,
Budget,P1,,,
Budget,A2,HELP,,
Budget,B2,,,
Budget,C2,,,
Budget,D2,,,
Budget,E2,,,
Budget,F2,,,
Budget,G2,,,
Budget,H2,,,
Budget,I2,,,
Budget,J2,,,
Budget,K2,,,
Budget,L2,,,
Budget,M2,,,
Budget,N2,,,
Budget,O2,,,
Budget,P2,© 2010-2019 Vertex42 LLC,,
Budget,R2, See the Help worksheet for instructions.,,
Budget,B4,Starting Balance,,
Budget,C4,0,,Budget!C8
Budget,N4,[42],,
Budget,O4,Total,,
Budget,P4,Average,,
Budget,A5,,,
Budget,B5,Total Income,,
Budget,C5,=C43,C43,"Budget!O5,Budget!P5,Budget!C7,Budget!C8"
Budget,D5,=D43,D43,"Budget!D7,Budget!D8"
Budget,E5,=E43,E43,"Budget!E7,Budget!E8"
Budget,F5,=F43,F43,"Budget!F7,Budget!F8"
Budget,G5,=G43,G43,"Budget!G7,Budget!G8"
Budget,H5,=H43,H43,"Budget!H7,Budget!H8"
Budget,I5,=I43,I43,"Budget!I7,Budget!I8"
Budget,J5,=J43,J43,"Budget!J7,Budget!J8"
Budget,K5,=K43,K43,"Budget!K7,Budget!K8"
Budget,L5,=L43,L43,"Budget!L7,Budget!L8"
Budget,M5,=M43,M43,"Budget!M7,Budget!M8"
Budget,N5,=N43,N43,"Budget!O5,Budget!P5,Budget!N7,Budget!N8"
Budget,O5,=SUM(C5:N5),"C5,N5",Budget!P5
Budget,P5,=O5/COLUMNS(C5:N5),"O5,C5,N5",
Budget,A6,,,
Budget,B6,Total Expenses,,
Budget,C6,=C146,C146,"Budget!O6,Budget!P6,Budget!C7,Budget!C8"
Budget,D6,=D146,D146,"Budget!D7,Budget!D8"
Budget,E6,=E146,E146,"Budget!E7,Budget!E8"
Budget,F6,=F146,F146,"Budget!F7,Budget!F8"
Budget,G6,=G146,G146,"Budget!G7,Budget!G8"
Budget,H6,=H146,H146,"Budget!H7,Budget!H8"
Budget,I6,=I146,I146,"Budget!I7,Budget!I8"
Budget,J6,=J146,J146,"Budget!J7,Budget!J8"
Budget,K6,=K146,K146,"Budget!K7,Budget!K8"
Budget,L6,=L146,L146,"Budget!L7,Budget!L8"
Budget,M6,=M146,M146,"Budget!M7,Budget!M8"
Budget,N6,=N146,N146,"Budget!O6,Budget!P6,Budget!N7,Budget!N8"
Budget,O6,=SUM(C6:N6),"C6,N6",Budget!P6
Budget,P6,=O6/COLUMNS(C6:N6),"O6,C6,N6",
Budget,Q6,,,
Budget,A7,,,
Budget,B7,NET (Income - Expenses),,
Budget,C7,=C5-C6,"C5,C6","Budget!O7,Budget!P7"
Budget,D7,=D5-D6,"D5,D6",
Budget,E7,=E5-E6,"E5,E6",
Budget,F7,=F5-F6,"F5,F6",
Budget,G7,=G5-G6,"G5,G6",
Budget,H7,=H5-H6,"H5,H6",
Budget,I7,=I5-I6,"I5,I6",
Budget,J7,=J5-J6,"J5,J6",
Budget,K7,=K5-K6,"K5,K6",
Budget,L7,=L5-L6,"L5,L6",
Budget,M7,=M5-M6,"M5,M6",
Budget,N7,=N5-N6,"N5,N6","Budget!O7,Budget!P7"
Budget,O7,=SUM(C7:N7),"C7,N7",Budget!P7
Budget,P7,=O7/COLUMNS(C7:N7),"O7,C7,N7",
Budget,Q7,,,
Budget,A8,,,
Budget,B8,Projected End Balance,,
Budget,C8,=C5-C6+C4,"C5,C6,C4",Budget!D8
Budget,D8,=C8+D5-D6,"C8,D5,D6",Budget!E8
Budget,E8,=D8+E5-E6,"D8,E5,E6",Budget!F8
Budget,F8,=E8+F5-F6,"E8,F5,F6",Budget!G8
Budget,G8,=F8+G5-G6,"F8,G5,G6",Budget!H8
Budget,H8,=G8+H5-H6,"G8,H5,H6",Budget!I8
Budget,I8,=H8+I5-I6,"H8,I5,I6",Budget!J8
Budget,J8,=I8+J5-J6,"I8,J5,J6",Budget!K8
Budget,K8,=J8+K5-K6,"J8,K5,K6",Budget!L8
Budget,L8,=K8+L5-L6,"K8,L5,L6",Budget!M8
Budget,M8,=L8+M5-M6,"L8,M5,M6",Budget!N8
Budget,N8,=M8+N5-N6,"M8,N5,N6",
Budget,O8,,,
Budget,P8,,,
Budget,Q8,,,
Budget,B9,,,
Budget,P9,,,
Budget,A10,,,
Budget,B10,,,
Budget,C10,=Report!B4,Report!B4,Budget!D10
Budget,D10,"=DATE(YEAR(C10),MONTH(C10)+1,1)",C10,Budget!E10
Budget,E10,"=DATE(YEAR(D10),MONTH(D10)+1,1)",D10,Budget!F10
Budget,F10,"=DATE(YEAR(E10),MONTH(E10)+1,1)",E10,Budget!G10
Budget,G10,"=DATE(YEAR(F10),MONTH(F10)+1,1)",F10,Budget!H10
Budget,H10,"=DATE(YEAR(G10),MONTH(G10)+1,1)",G10,Budget!I10
Budget,I10,"=DATE(YEAR(H10),MONTH(H10)+1,1)",H10,Budget!J10
Budget,J10,"=DATE(YEAR(I10),MONTH(I10)+1,1)",I10,Budget!K10
Budget,K10,"=DATE(YEAR(J10),MONTH(J10)+1,1)",J10,Budget!L10
Budget,L10,"=DATE(YEAR(K10),MONTH(K10)+1,1)",K10,Budget!M10
Budget,M10,"=DATE(YEAR(L10),MONTH(L10)+1,1)",L10,Budget!N10
Budget,N10,"=DATE(YEAR(M10),MONTH(M10)+1,1)",M10,
Budget,O10,Total,,
Budget,P10,Average,,
Budget,R10,"Note: The start month is based on ""Year Beginning"" in the Report worksheet",,
Budget,A12,INCOME CATEGORIES,,
Budget,B12,,,
Budget,C12,,,Budget!C43
Budget,D12,,,Budget!D43
Budget,E12,,,Budget!E43
Budget,F12,,,Budget!F43
Budget,G12,,,Budget!G43
Budget,H12,,,Budget!H43
Budget,I12,,,Budget!I43
Budget,J12,,,Budget!J43
Budget,K12,,,Budget!K43
Budget,L12,,,Budget!L43
Budget,M12,,,Budget!M43
Budget,N12,,,Budget!N43
Budget,O12,,,
Budget,P12,,,
Budget,R12,IMPORTANT:,,
Budget,A13,Dividends,,
Budget,B13,,,
Budget,C13,,,"Budget!O13,Budget!P13"
Budget,D13,,,
Budget,E13,,,
Budget,F13,,,
Budget,G13,,,
Budget,H13,,,
Budget,I13,,,
Budget,J13,,,
Budget,K13,,,
Budget,L13,,,
Budget,M13,,,
Budget,N13,,,"Budget!O13,Budget!P13"
Budget,O13,=SUM(C13:N13),"C13,N13",Budget!P13
Budget,P13,=O13/COLUMNS(C13:N13),"O13,C13,N13",
Budget,R13,"Do not insert or delete rows. If you need to add more categories,",,
Budget,A14,Financial Aid,,
Budget,B14,,,
Budget,C14,,,"Budget!O14,Budget!P14"
Budget,D14,,,
Budget,E14,,,
Budget,F14,,,
Budget,G14,,,
Budget,H14,,,
Budget,I14,,,
Budget,J14,,,
Budget,K14,,,
Budget,L14,,,
Budget,M14,,,
Budget,N14,,,"Budget!O14,Budget!P14"
Budget,O14,=SUM(C14:N14),"C14,N14",Budget!P14
Budget,P14,=O14/COLUMNS(C14:N14),"O14,C14,N14",
Budget,R14,consider using the original version of the money management,,
